"F1","Precision","Recall","Thresholds"
0.617910447761194,0.75,0.525380710659898,0.1
0.541012216404887,0.865921787709497,0.393401015228426,0.2
0.468809073724008,0.918518518518519,0.314720812182741,0.3
0.416666666666667,0.954545454545455,0.266497461928934,0.4
0.386965376782077,0.979381443298969,0.241116751269036,0.5
0.354166666666667,0.988372093023256,0.215736040609137,0.6
0.311965811965812,0.986486486486487,0.185279187817259,0.7
0.268131868131868,1,0.154822335025381,0.8
0.196796338672769,1,0.109137055837563,0.9
NA,NA,0,1
