Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	600	610.92	400	1600	S17_20180223_080003	SVM	0.186	Gibbons
2	Spectrogram 1	1	659.792	671.372	400	1600	S17_20180223_080003	SVM	0.202	Gibbons
3	Spectrogram 1	1	721.564	744.045	400	1600	S17_20180223_080003	SVM	0.182	Gibbons
4	Spectrogram 1	1	812.077	833.148	400	1600	S17_20180223_080003	SVM	0.16	Gibbons
5	Spectrogram 1	1	863.549	877.789	400	1600	S17_20180223_080003	SVM	0.307	Gibbons
6	Spectrogram 1	1	877.789	898.27	400	1600	S17_20180223_080003	SVM	0.174	Gibbons
7	Spectrogram 1	1	5741.991	5757.932	400	1600	S17_20180223_080003	SVM	0.15	Gibbons
8	Spectrogram 1	1	5798.943	5820.514	400	1600	S17_20180223_080003	SVM	0.195	Gibbons
